_id,hilo,posicion_hilo,id,emocion,puntaje_sigmoideo,total_rt,total_fav,total_hashtags,aporte_rt,aporte_fav,progreso_hilo
ObjectId("5d3257e36b361d2ed051d0ab"),184,3,1139746017224433664,Joy,0.8,735,5436,0,0.04,0.055,26
ObjectId("5d3257e36b361d2ed051d0ac"),184,2,1139745738148200448,Fear,0.8,783,5739,0,0.042,0.058,18
ObjectId("5d3257e36b361d2ed051d0ad"),184,1,1139745269027729409,Fear,0.8,884,6019,0,0.048,0.061,9
ObjectId("5d3257e36b361d2ed051d0ae"),184,0,1139745267400368131,Joy,0.8,8855,26075,0,0.477,0.262,1
ObjectId("5d3257e36b361d2ed051d0af"),84,7,1076627072716496896,Joy,0.9,3,9,0,0.031,0.083,100
ObjectId("5d3257e36b361d2ed051d0b0"),84,6,1076614452051566592,Anger,0.9,10,15,4,0.104,0.139,86
ObjectId("5d3257e36b361d2ed051d0b1"),84,5,1076608555103309825,Fear,0.9,10,11,6,0.104,0.102,72
ObjectId("5d3257e36b361d2ed051d0b2"),84,4,1076602320568254464,Fear,0.9,11,11,2,0.115,0.102,58
ObjectId("5d3257e36b361d2ed051d0b3"),84,3,1076595342571753472,Joy,0.9,8,9,5,0.083,0.083,43
ObjectId("5d3257e36b361d2ed051d0b4"),84,2,1076591404254556160,Fear,0.9,11,13,4,0.115,0.12,29
ObjectId("5d3257e36b361d2ed051d0b5"),84,1,1076588929338335232,Fear,0.9,11,11,8,0.115,0.102,15
ObjectId("5d3257e36b361d2ed051d0b6"),84,0,1076587307505876992,Joy,0.9,31,28,6,0.323,0.259,1
ObjectId("5d3257e36b361d2ed051d0b7"),29,4,1143560447750107141,Fear,1.1,18,227,0,0.104,0.2,100
ObjectId("5d3257e36b361d2ed051d0b8"),29,3,1143560443425722368,Fear,1.1,39,205,0,0.225,0.18,75
ObjectId("5d3257e36b361d2ed051d0b9"),29,2,1143560442666610688,Joy,1.1,18,121,0,0.104,0.106,50
ObjectId("5d3257e36b361d2ed051d0ba"),29,1,1143560441827774464,Joy,1.1,15,100,0,0.087,0.088,26
ObjectId("5d3257e36b361d2ed051d0bb"),29,0,1143560441055993856,Sadness,1.1,82,483,0,0.474,0.425,1
ObjectId("5d3257e36b361d2ed051d0bc"),299,20,1091981127567503360,Joy,0.7,2,34,0,0.02,0.024,100
ObjectId("5d3257e36b361d2ed051d0bd"),299,19,1091971664517189632,Surprise,0.7,1,25,0,0.01,0.018,95
ObjectId("5d3257e36b361d2ed051d0be"),299,18,1091971041981878272,Joy,0.7,1,22,0,0.01,0.016,90
ObjectId("5d3257e36b361d2ed051d0bf"),299,17,1091969355926114304,Sadness,0.7,1,28,0,0.01,0.02,85
ObjectId("5d3257e36b361d2ed051d0c0"),299,16,1091919653096570880,Joy,0.7,2,38,0,0.02,0.027,80
ObjectId("5d3257e36b361d2ed051d0c1"),299,15,1091919342051180544,Joy,0.7,1,22,0,0.01,0.016,75
ObjectId("5d3257e36b361d2ed051d0c2"),299,14,1091919268516687873,Surprise,0.7,1,22,0,0.01,0.016,70
ObjectId("5d3257e36b361d2ed051d0c3"),299,13,1091919195640643584,Fear,0.7,1,24,0,0.01,0.017,65
ObjectId("5d3257e36b361d2ed051d0c4"),299,12,1091919107107287040,Joy,0.7,1,25,0,0.01,0.018,60
ObjectId("5d3257e36b361d2ed051d0c5"),299,11,1091919030972223488,Joy,0.7,1,20,0,0.01,0.014,55
ObjectId("5d3257e36b361d2ed051d0c6"),299,10,1091918957475442690,Fear,0.7,1,39,0,0.01,0.028,50
ObjectId("5d3257e36b361d2ed051d0c7"),299,9,1091918818862088193,Fear,0.7,1,40,0,0.01,0.029,46
ObjectId("5d3257e36b361d2ed051d0c8"),299,8,1091918711110488065,Joy,0.7,2,31,0,0.02,0.022,41
ObjectId("5d3257e36b361d2ed051d0c9"),299,7,1091918455853465602,Fear,0.7,3,40,0,0.03,0.029,36
ObjectId("5d3257e36b361d2ed051d0ca"),299,6,1091918097550843905,Fear,0.7,5,55,0,0.051,0.039,31
