_id,hilo,topico,total_tweets,total_retweets,total_favoritos,promedio_rt,promedio_fv,total_hashtags,emocion_hilo_1,tupla_emocion_hilo,user_total_followers,user_puntaje_sigmo,user_verificado,log_prt,log_pfv,log_total_retweets,log_total_favoritos,rnd_user_puntaje_sigmo,log_user_total_followers
ObjectId("5d34a6786b361d34247c0d52"),326,11,24,10500,35217,438,1467,0,Joy,Joy+Fear,677357,2.2602,true,2.6424645202421213,3.166726055580052,4.021230658479703,4.546764689120566,2.3,5.830818264446593
ObjectId("5d34a6786b361d34247c0d53"),203,5,14,243,188,17,13,1,Sadness,Sadness+Joy,67033,0.84908,false,1.255272505103306,1.146128035678238,2.387389826338729,2.2764618041732443,0.8,4.82629513504488
ObjectId("5d34a6786b361d34247c0d54"),322,4,23,10595,25349,461,1102,0,Disgust,Disgust+Fear,58433,1.36473,false,2.6646419755561257,3.0425755124401905,4.025141949625193,4.403977963669354,1.4,4.76666561621731
ObjectId("5d34a6786b361d34247c0d55"),274,2,19,7163,37452,377,1971,0,Joy,Joy+Anger,8174,0.88615,true,2.5774917998372255,3.2949069106051923,3.855155577176994,4.57348661058725,0.9,3.912487761332324
ObjectId("5d34a6786b361d34247c0d56"),192,4,13,8058,23609,620,1816,0,Disgust,Disgust+Joy,6666,1.15841,false,2.79309160017658,3.2593549273080344,3.906281155772153,4.373095987078727,1.2,3.8239304551255637
ObjectId("5d34a6786b361d34247c0d57"),278,4,19,45107,155746,2374,8197,1,Joy,Joy+Fear,273108,1.58064,true,3.3756636139608855,3.913707913980483,4.654253571761437,5.192419690027877,1.6,5.436336012061864
ObjectId("5d34a6786b361d34247c0d58"),307,0,22,284,1192,13,54,0,Fear,Fear+Joy,2013,0.88429,false,1.146128035678238,1.7403626894942439,2.45484486000851,3.076640443670342,0.9,3.3040594662175993
ObjectId("5d34a6786b361d34247c0d59"),162,12,11,213,396,19,36,0,Fear,Fear+Joy,5261,0.79471,false,1.3010299956639813,1.568201724066995,2.330413773349191,2.598790506763115,0.8,3.721150843749684
ObjectId("5d34a6786b361d34247c0d5a"),352,2,26,34941,85517,1344,3289,0,Anger,Anger+Joy,50773,1.17667,true,3.128722284338427,3.5171958979499744,4.543347759379176,4.932057535522511,1.2,4.705641378679333
ObjectId("5d34a6786b361d34247c0d5b"),85,13,8,27356,51331,3420,6416,0,Joy,Joy+Fear,23732,1.13901,true,3.5341530741850624,3.8073320392911905,4.437068470428161,4.710388185594146,1.1,4.3753526392327595
ObjectId("5d34a6786b361d34247c0d5c"),68,4,7,3785,9100,541,1300,0,Joy,Joy+Surprise,2799,0.83236,true,2.733999286538387,3.1142772965615864,3.5781806096277777,3.959089114367392,0.8,3.4471580313422194
